[PARKES,149.133857492,-35.2969884918,22.5383499829],
[GOWRIE,149.109711883,-35.4138276496,23.0324071091],
[WEETANGERA,149.048306562,-35.251923405,17.6228132433],
[CAPITAL HILL,149.124029181,-35.3083402774,19.1900179161],
[PEARCE,149.086071191,-35.3630660636,17.6025026176],
[BONNER,149.139619878,-35.1587162296,4.88437270211],
[ISABELLA PLAINS,149.093083486,-35.4276209481,52.9185480238],
[FADDEN,149.11812099,-35.4079164796,8.14358365176],
[LYNEHAM,149.127598212,-35.2443615765,14.2216402692],
[WRIGHT,149.034982145,-35.3188782319,100.0],
[SYMONSTON,149.153952627,-35.3429742941,17.4404021697],
[CASEY,149.097603937,-35.1686163579,59.5347002788],
[GORDON,149.085086016,-35.4490815389,11.0106824842],
[FORREST,149.128055967,-35.3176251389,20.1721381305],
[DUFFY,149.037798935,-35.3351039496,86.9540145479],
[ISAACS,149.111720911,-35.3681305852,36.298719788],
[FRASER,149.042729948,-35.1902997547,32.5780286542],
[ACTON,149.115216823,-35.2779044764,25.4564666279],
[BANKS,149.100112427,-35.4672617184,38.0711981604],
[THARWA,149.069088564,-35.5134253168,6.99037264978],
[GRIFFITH,149.138473668,-35.3248400594,9.36342406632],
[SPENCE,149.065494677,-35.2007108387,45.2905901287],
[FORDE,149.145237911,-35.1656963577,12.5733148196],
[LYONS,149.07524819,-35.3396007143,22.6654960473],
[NARRABUNDAH,149.144797307,-35.3345770044,12.0558919144],
[GUNGAHLIN,149.142807298,-35.1869514719,18.5970336501],
[AMAROO,149.126922295,-35.1665954621,23.70489457],
[WATSON,149.165268722,-35.2376328958,44.2002802046],
[AINSLIE,149.152771865,-35.2593877416,15.7924247882],
[LAWSON,149.088760862,-35.2245827195,30.8196849211],
[LATHAM,149.031155869,-35.2159109403,19.4169621905],
[MACQUARIE,149.063672496,-35.251601192,13.6639489908],
[BRADDON,149.134999222,-35.271568,6.60073190965],
[DENMAN PROSPECT,149.030126949,-35.2925384943,91.4360024384],
[O'CONNOR,149.113502315,-35.2592561544,20.6104983789],
[FYSHWICK,149.173717448,-35.3193919536,15.8438880188],
[CHISHOLM,149.12381298,-35.4222986309,18.0978730927],
[WANNIASSA,149.089598441,-35.3986038403,38.5556201397],
[URIARRA VILLAGE,148.92645395,-35.2961781,57.0757446067],
[MONASH,149.088827199,-35.4162794208,39.440445127],
[KAMBAH,149.065425584,-35.3832208768,13.7916578525],
[COOMBS,149.043235553,-35.3178430789,82.930172539],
[CANBERRA AIRPORT,149.190566096,-35.3052917703,34.5628770513],
[MCKELLAR,149.077379864,-35.2166880132,20.8754374544],
[MACARTHUR,149.13007685,-35.4061550467,12.9957736064],
[RED HILL,149.123244921,-35.3319722183,14.18143265],
[MACGREGOR,149.019520636,-35.2123112308,17.2598514798],
[CONDER,149.099888152,-35.461485992,32.9794606672],
[CHAPMAN,149.036900965,-35.3545844273,64.3894535679],
[GARRAN,149.105130765,-35.3441543782,25.162328209],
[COOK,149.067276969,-35.2581121145,8.5097401488],
[CRACE,149.106651711,-35.2002624222,8.02123673024],
[DEAKIN,149.108499835,-35.3221307423,11.3470409288],
[HALL,149.065110537,-35.1708947794,8.46104929431],
[FARRER,149.108671676,-35.3761668108,34.9775887285],
[SCULLIN,149.038824667,-35.2349028889,2.56498728378],
[BRUCE,149.08789529,-35.2429393167,30.0135604269],
[STIRLING,149.047677424,-35.3508462712,57.2368208845],
[GIRALANG,149.090731551,-35.2113854491,30.3627567817],
[WARAMANGA,149.062726862,-35.3525657248,28.3466426792],
[JACKA,149.130866818,-35.1564091883,23.8919450269],
[MAWSON,149.0992124,-35.35943805,14.7713937171],
[O'MALLEY,149.108536782,-35.3537122564,36.5017884145],
[THEODORE,149.121854564,-35.4438411727,56.343201099],
[KINGSTON,149.145483158,-35.3182524561,6.75296500291],
[OAKS ESTATE,149.228727624,-35.3397104,3.72105998796],
[EVATT,149.069726361,-35.211183183,25.1041722818],
[CAMPBELL,149.159240887,-35.2910485319,9.6017066608],
[GREENWAY,149.066746945,-35.4141738309,6.3566818827],
[FISHER,149.055509815,-35.3608864958,34.8932965228],
[CURTIN,149.0750964,-35.3267886706,14.690891982],
[TURNER,149.121178296,-35.2694957593,9.17718448013],
[HOLDER,149.045326133,-35.3346963723,72.6130254416],
[HUGHES,149.096382797,-35.3331924375,5.25074481878],
[YARRALUMLA,149.095929771,-35.3047489931,4.52234972019],
[BONYTHON,149.079329667,-35.435054127,28.8430739395],
[OXLEY,149.079182781,-35.40869145,15.1144990682],
[MOLONGLO,149.038191256,-35.2989816325,82.3402101705],
[MITCHELL,149.137009289,-35.2163760593,10.9275266611],
[PALMERSTON,149.118063459,-35.1956298571,33.5633088283],
[BELCONNEN,149.069056715,-35.2358456901,7.64717681003],
[NGUNNAWAL,149.109519229,-35.170697039,46.791365737],
[CHIFLEY,149.073579676,-35.3522908529,5.35902115619],
[HIGGINS,149.027577704,-35.2315628158,22.1745746942],
[CALWELL,149.108927543,-35.4382632622,53.7519196649],
[HARRISON,149.158393392,-35.1970663399,30.0338566046],
[RIVETT,149.038092205,-35.3470926954,73.2197147444],
[ARANDA,149.081748871,-35.2581260588,38.9017200977],
[BARTON,149.139665374,-35.308384,-6.01101807711e-13],
[REID,149.139748286,-35.2826925714,6.43661772941],
[GILMORE,149.137396622,-35.4148806919,18.7975297108],
[FRANKLIN,149.142191106,-35.1961336635,3.68119707126],
[DICKSON,149.1436442,-35.2529920444,7.50998473373],
[RICHARDSON,149.115586981,-35.4273187208,29.785511865],
[HUME,149.165370943,-35.3929238864,86.2254332358],
[PAGE,149.049160068,-35.2381850485,15.2928541651],
[DOWNER,149.143360492,-35.2447324098,3.27944483421],
[DUNLOP,149.02779055,-35.1945161441,22.3929439496],
[WESTON,149.058695057,-35.3355913101,47.7032821815],
[TORRENS,149.086952403,-35.3677484545,15.4380330286],
[NICHOLLS,149.098635193,-35.1870451933,26.9531606667],
[FLYNN,149.044072795,-35.2051530267,21.4138482395],
[BEARD,149.211468192,-35.3414456923,32.9659000922],
[HAWKER,149.038285054,-35.2463579279,10.9694069655],
[MELBA,149.055003503,-35.2090849045,37.3844573542],
[PIALLIGO,149.18814489,-35.3154698931,30.986613377],
[MONCRIEFF,149.115804899,-35.1579922946,49.2325107862],
[TAYLOR,149.110862571,-35.1494765571,67.8658302508],
[RUSSELL,149.150001347,-35.2999947551,21.0148832264],
[PHILLIP,149.091215519,-35.3470815577,7.63335109687],
[HOLT,149.01711611,-35.2243085195,7.37805364183],
[CHARNWOOD,149.036447847,-35.1998668898,10.7334902473],
[FLOREY,149.049575635,-35.2255077904,24.5617845785],
[KALEEN,149.103648739,-35.2297058848,50.62767438],
[CITY,149.123860443,-35.2830900261,6.3901772253],
[HACKETT,149.165048628,-35.2507742568,42.6020824459],
[THROSBY,149.15896586,-35.1883297093,35.3116899324]
