[PARKES,149.133857492,-35.2969884918,10.752688172]
[GOWRIE,149.109711883,-35.4138276496,21.5053763441]
[WEETANGERA,149.048306562,-35.251923405,16.1290322581]
[CAPITAL HILL,149.124029181,-35.3083402774,4.30107526882]
[PEARCE,149.086071191,-35.3630660636,16.1290322581]
[BONNER,149.139619878,-35.1587162296,6.45161290323]
[ISABELLA PLAINS,149.093083486,-35.4276209481,20.4301075269]
[FADDEN,149.11812099,-35.4079164796,26.8817204301]
[LYNEHAM,149.127598212,-35.2443615765,37.6344086022]
[PIALLIGO,149.18814489,-35.3154698931,0.0]
[SYMONSTON,149.153952627,-35.3429742941,9.67741935484]
[CASEY,149.097603937,-35.1686163579,11.8279569892]
[GORDON,149.085086016,-35.4490815389,39.7849462366]
[FORREST,149.128055967,-35.3176251389,9.67741935484]
[DUFFY,149.037798935,-35.3351039496,30.1075268817]
[ISAACS,149.111720911,-35.3681305852,19.3548387097]
[FRASER,149.042729948,-35.1902997547,33.3333333333]
[ACTON,149.115216823,-35.2779044764,22.5806451613]
[BANKS,149.100112427,-35.4672617184,29.0322580645]
[GRIFFITH,149.138473668,-35.3248400594,24.7311827957]
[SPENCE,149.065494677,-35.2007108387,25.8064516129]
[FORDE,149.145237911,-35.1656963577,13.9784946237]
[LYONS,149.07524819,-35.3396007143,16.1290322581]
[NARRABUNDAH,149.144797307,-35.3345770044,49.4623655914]
[GUNGAHLIN,149.142807298,-35.1869514719,31.1827956989]
[AMAROO,149.126922295,-35.1665954621,15.0537634409]
[WATSON,149.165268722,-35.2376328958,18.2795698925]
[AINSLIE,149.152771865,-35.2593877416,35.4838709677]
[LAWSON,149.088760862,-35.2245827195,9.67741935484]
[LATHAM,149.031155869,-35.2159109403,33.3333333333]
[MACQUARIE,149.063672496,-35.251601192,20.4301075269]
[BRADDON,149.134999222,-35.271568,30.1075268817]
[O'CONNOR,149.113502315,-35.2592561544,37.6344086022]
[FYSHWICK,149.173717448,-35.3193919536,46.2365591398]
[CHISHOLM,149.12381298,-35.4222986309,43.0107526882]
[WANNIASSA,149.089598441,-35.3986038403,100.0]
[MONASH,149.088827199,-35.4162794208,37.6344086022]
[KAMBAH,149.065425584,-35.3832208768,79.5698924731]
[COOMBS,149.043235553,-35.3178430789,5.37634408602]
[CANBERRA AIRPORT,149.190566096,-35.3052917703,9.67741935484]
[MCKELLAR,149.077379864,-35.2166880132,22.5806451613]
[MACARTHUR,149.13007685,-35.4061550467,0.0]
[RED HILL,149.123244921,-35.3319722183,17.2043010753]
[MACGREGOR,149.019520636,-35.2123112308,38.7096774194]
[CONDER,149.099888152,-35.461485992,29.0322580645]
[CHAPMAN,149.036900965,-35.3545844273,19.3548387097]
[GARRAN,149.105130765,-35.3441543782,29.0322580645]
[CAMPBELL,149.159240887,-35.2910485319,46.2365591398]
[FISHER,149.055509815,-35.3608864958,16.1290322581]
[DEAKIN,149.108499835,-35.3221307423,39.7849462366]
[FARRER,149.108671676,-35.3761668108,13.9784946237]
[SCULLIN,149.038824667,-35.2349028889,16.1290322581]
[BRUCE,149.08789529,-35.2429393167,41.935483871]
[STIRLING,149.047677424,-35.3508462712,19.3548387097]
[GIRALANG,149.090731551,-35.2113854491,31.1827956989]
[WARAMANGA,149.062726862,-35.3525657248,19.3548387097]
[MAWSON,149.0992124,-35.35943805,17.2043010753]
[O'MALLEY,149.108536782,-35.3537122564,10.752688172]
[THEODORE,149.121854564,-35.4438411727,16.1290322581]
[KINGSTON,149.145483158,-35.3182524561,12.9032258065]
[EVATT,149.069726361,-35.211183183,37.6344086022]
[COOK,149.067276969,-35.2581121145,13.9784946237]
