[PARKES,149.133857492,-35.2969884918,83.7600661786],
[GOWRIE,149.109711883,-35.4138276496,56.239961032],
[WEETANGERA,149.048306562,-35.251923405,73.2844022973],
[CAPITAL HILL,149.124029181,-35.3083402774,86.9317763261],
[PEARCE,149.086071191,-35.3630660636,45.9461314607],
[BONNER,149.139619878,-35.1587162296,27.8607548069],
[ISABELLA PLAINS,149.093083486,-35.4276209481,72.9794350339],
[FADDEN,149.11812099,-35.4079164796,46.0606664535],
[LYNEHAM,149.127598212,-35.2443615765,67.0390413201],
[WRIGHT,149.034982145,-35.3188782319,10.9234395682],
[SYMONSTON,149.153952627,-35.3429742941,68.0274299849],
[CASEY,149.097603937,-35.1686163579,26.8241018951],
[GORDON,149.085086016,-35.4490815389,64.6559579],
[FORREST,149.128055967,-35.3176251389,96.6316161514],
[DUFFY,149.037798935,-35.3351039496,12.8865149401],
[ISAACS,149.111720911,-35.3681305852,48.3903346629],
[FRASER,149.042729948,-35.1902997547,47.6189234446],
[ACTON,149.115216823,-35.2779044764,92.0196758618],
[BANKS,149.100112427,-35.4672617184,40.4703773466],
[THARWA,149.069088564,-35.5134253168,5.32381991585],
[GRIFFITH,149.138473668,-35.3248400594,92.0159149667],
[SPENCE,149.065494677,-35.2007108387,66.3783562058],
[FORDE,149.145237911,-35.1656963577,35.9463583512],
[LYONS,149.07524819,-35.3396007143,33.7680260017],
[NARRABUNDAH,149.144797307,-35.3345770044,80.1107394913],
[GUNGAHLIN,149.142807298,-35.1869514719,55.5692227693],
[AMAROO,149.126922295,-35.1665954621,29.9579074991],
[WATSON,149.165268722,-35.2376328958,87.8093515437],
[AINSLIE,149.152771865,-35.2593877416,76.0782731681],
[LAWSON,149.088760862,-35.2245827195,74.960153352],
[LATHAM,149.031155869,-35.2159109403,55.9762915937],
[MACQUARIE,149.063672496,-35.251601192,84.6587512602],
[BRADDON,149.134999222,-35.271568,94.1564573053],
[DENMAN PROSPECT,149.030126949,-35.2925384943,30.2231300278],
[O'CONNOR,149.113502315,-35.2592561544,78.6419289457],
[FYSHWICK,149.173717448,-35.3193919536,66.0805280412],
[CHISHOLM,149.12381298,-35.4222986309,39.8296743783],
[WANNIASSA,149.089598441,-35.3986038403,73.3383821598],
[URIARRA VILLAGE,148.92645395,-35.2961781,0.970419949007],
[MONASH,149.088827199,-35.4162794208,80.2383104209],
[KAMBAH,149.065425584,-35.3832208768,68.1074934112],
[COOMBS,149.043235553,-35.3178430789,15.4487011404],
[CANBERRA AIRPORT,149.190566096,-35.3052917703,47.2851848265],
[MCKELLAR,149.077379864,-35.2166880132,79.4588479216],
[MACARTHUR,149.13007685,-35.4061550467,32.2480997939],
[RED HILL,149.123244921,-35.3319722183,85.8286853284],
[MACGREGOR,149.019520636,-35.2123112308,66.204548137],
[CONDER,149.099888152,-35.461485992,45.2537027111],
[CHAPMAN,149.036900965,-35.3545844273,29.1754733128],
[GARRAN,149.105130765,-35.3441543782,62.5379351896],
[COOK,149.067276969,-35.2581121145,79.0639460325],
[CRACE,149.106651711,-35.2002624222,44.7322009134],
[DEAKIN,149.108499835,-35.3221307423,74.6695477288],
[HALL,149.065110537,-35.1708947794,37.0989746107],
[FARRER,149.108671676,-35.3761668108,42.3734111768],
[SCULLIN,149.038824667,-35.2349028889,67.3760577158],
[BRUCE,149.08789529,-35.2429393167,77.341328105],
[STIRLING,149.047677424,-35.3508462712,31.6244405741],
[GIRALANG,149.090731551,-35.2113854491,65.7242333275],
[WARAMANGA,149.062726862,-35.3525657248,37.8589985779],
[JACKA,149.130866818,-35.1564091883,22.6498232417],
[MAWSON,149.0992124,-35.35943805,47.334890323],
[O'MALLEY,149.108536782,-35.3537122564,58.5933172242],
[THEODORE,149.121854564,-35.4438411727,36.3498274614],
[KINGSTON,149.145483158,-35.3182524561,94.179680223],
[OAKS ESTATE,149.228727624,-35.3397104,-1.12834186439e-11],
[EVATT,149.069726361,-35.211183183,76.7450356572],
[CAMPBELL,149.159240887,-35.2910485319,74.352965256],
[GREENWAY,149.066746945,-35.4141738309,96.1050375507],
[FISHER,149.055509815,-35.3608864958,43.9852889099],
[CURTIN,149.0750964,-35.3267886706,36.1112734579],
[TURNER,149.121178296,-35.2694957593,91.5790148188],
[HOLDER,149.045326133,-35.3346963723,15.8400109581],
[HUGHES,149.096382797,-35.3331924375,58.7718413233],
[YARRALUMLA,149.095929771,-35.3047489931,63.2196521901],
[BONYTHON,149.079329667,-35.435054127,79.9407444521],
[OXLEY,149.079182781,-35.40869145,88.854501222],
[MOLONGLO,149.038191256,-35.2989816325,30.0375696452],
[MITCHELL,149.137009289,-35.2163760593,75.6597978962],
[PALMERSTON,149.118063459,-35.1956298571,46.0336184926],
[BELCONNEN,149.069056715,-35.2358456901,100.0],
[NGUNNAWAL,149.109519229,-35.170697039,21.9317549772],
[CHIFLEY,149.073579676,-35.3522908529,38.1625483058],
[HIGGINS,149.027577704,-35.2315628158,63.0711077141],
[CALWELL,149.108927543,-35.4382632622,52.0850914359],
[HARRISON,149.158393392,-35.1970663399,67.682047515],
[RIVETT,149.038092205,-35.3470926954,23.5388693595],
[ARANDA,149.081748871,-35.2581260588,74.1095194316],
[BARTON,149.139665374,-35.308384,96.4696325472],
[REID,149.139748286,-35.2826925714,95.6601743058],
[GILMORE,149.137396622,-35.4148806919,24.5498736201],
[FRANKLIN,149.142191106,-35.1961336635,63.7490769103],
[DICKSON,149.1436442,-35.2529920444,75.7447994512],
[RICHARDSON,149.115586981,-35.4273187208,48.3972501389],
[HUME,149.165370943,-35.3929238864,19.1960061978],
[PAGE,149.049160068,-35.2381850485,79.1107649052],
[DOWNER,149.143360492,-35.2447324098,81.5629859133],
[DUNLOP,149.02779055,-35.1945161441,47.7165831345],
[WESTON,149.058695057,-35.3355913101,20.6471725124],
[TORRENS,149.086952403,-35.3677484545,49.9275664172],
[NICHOLLS,149.098635193,-35.1870451933,41.6946666751],
[FLYNN,149.044072795,-35.2051530267,60.1441602352],
[BEARD,149.211468192,-35.3414456923,18.2526647417],
[HAWKER,149.038285054,-35.2463579279,65.2322442252],
[MELBA,149.055003503,-35.2090849045,70.7255874865],
[PIALLIGO,149.18814489,-35.3154698931,50.262185756],
[MONCRIEFF,149.115804899,-35.1579922946,16.2636800251],
[TAYLOR,149.110862571,-35.1494765571,6.15400071566],
[RUSSELL,149.150001347,-35.2999947551,87.7563144991],
[PHILLIP,149.091215519,-35.3470815577,47.7069458176],
[HOLT,149.01711611,-35.2243085195,73.8925421454],
[CHARNWOOD,149.036447847,-35.1998668898,50.3227330738],
[FLOREY,149.049575635,-35.2255077904,77.4296141997],
[KALEEN,149.103648739,-35.2297058848,59.9051284138],
[CITY,149.123860443,-35.2830900261,98.8397114639],
[HACKETT,149.165048628,-35.2507742568,78.4103482848],
[THROSBY,149.15896586,-35.1883297093,59.0605269269]
