[PARKES,149.133857492,-35.2969884918,86.5887697349]
[GOWRIE,149.109711883,-35.4138276496,63.6409213914]
[WEETANGERA,149.048306562,-35.251923405,82.2834239579]
[CAPITAL HILL,149.124029181,-35.3083402774,91.6510062228]
[PEARCE,149.086071191,-35.3630660636,84.7539499366]
[BONNER,149.139619878,-35.1587162296,90.0007639098]
[ISABELLA PLAINS,149.093083486,-35.4276209481,65.4885800172]
[FADDEN,149.11812099,-35.4079164796,60.2411157826]
[LYNEHAM,149.127598212,-35.2443615765,76.7848736203]
[WRIGHT,149.034982145,-35.3188782319,95.2373776717]
[SYMONSTON,149.153952627,-35.3429742941,41.4324402311]
[CASEY,149.097603937,-35.1686163579,95.692676017]
[GORDON,149.085086016,-35.4490815389,56.0000499991]
[FORREST,149.128055967,-35.3176251389,80.4623448712]
[DUFFY,149.037798935,-35.3351039496,91.7654142017]
[ISAACS,149.111720911,-35.3681305852,62.7579370115]
[FRASER,149.042729948,-35.1902997547,50.8197959229]
[ACTON,149.115216823,-35.2779044764,91.0345763248]
[BANKS,149.100112427,-35.4672617184,65.0946922184]
[THARWA,149.069088564,-35.5134253168,2.45451353449]
[GRIFFITH,149.138473668,-35.3248400594,66.7988562479]
[SPENCE,149.065494677,-35.2007108387,60.455178823]
[FORDE,149.145237911,-35.1656963577,98.1477693869]
[LYONS,149.07524819,-35.3396007143,88.0569030567]
[NARRABUNDAH,149.144797307,-35.3345770044,53.6573683842]
[GUNGAHLIN,149.142807298,-35.1869514719,89.5337776021]
[AMAROO,149.126922295,-35.1665954621,87.7804497197]
[WATSON,149.165268722,-35.2376328958,63.5624260748]
[AINSLIE,149.152771865,-35.2593877416,83.052859075]
[LAWSON,149.088760862,-35.2245827195,78.5391381592]
[LATHAM,149.031155869,-35.2159109403,77.7875642781]
[MACQUARIE,149.063672496,-35.251601192,93.4085484101]
[BRADDON,149.134999222,-35.271568,91.2962734591]
[DENMAN PROSPECT,149.030126949,-35.2925384943,67.3575800986]
[O'CONNOR,149.113502315,-35.2592561544,70.8714271643]
[FYSHWICK,149.173717448,-35.3193919536,51.9929879798]
[CHISHOLM,149.12381298,-35.4222986309,75.8559121082]
[WANNIASSA,149.089598441,-35.3986038403,74.0263521975]
[URIARRA VILLAGE,148.92645395,-35.2961781,-33.4217254869]
[MONASH,149.088827199,-35.4162794208,74.526811017]
[KAMBAH,149.065425584,-35.3832208768,93.2629428307]
[COOMBS,149.043235553,-35.3178430789,96.6302859079]
[CANBERRA AIRPORT,149.190566096,-35.3052917703,40.9770039048]
[MCKELLAR,149.077379864,-35.2166880132,78.8427242091]
[MACARTHUR,149.13007685,-35.4061550467,57.3582895268]
[RED HILL,149.123244921,-35.3319722183,66.9029468142]
[MACGREGOR,149.019520636,-35.2123112308,88.0045015371]
[CONDER,149.099888152,-35.461485992,68.5590647052]
[CHAPMAN,149.036900965,-35.3545844273,93.7801850908]
[GARRAN,149.105130765,-35.3441543782,84.245933118]
[COOK,149.067276969,-35.2581121145,94.5495191943]
[CRACE,149.106651711,-35.2002624222,96.4570825469]
[DEAKIN,149.108499835,-35.3221307423,83.1842565731]
[HALL,149.065110537,-35.1708947794,64.8919409755]
[FARRER,149.108671676,-35.3761668108,57.7729359378]
[SCULLIN,149.038824667,-35.2349028889,66.3577644408]
[BRUCE,149.08789529,-35.2429393167,82.8044309047]
[STIRLING,149.047677424,-35.3508462712,88.2030745672]
[GIRALANG,149.090731551,-35.2113854491,81.7218256675]
[WARAMANGA,149.062726862,-35.3525657248,81.9951737923]
[JACKA,149.130866818,-35.1564091883,81.1030061281]
[MAWSON,149.0992124,-35.35943805,79.1918999034]
[O'MALLEY,149.108536782,-35.3537122564,76.1978540242]
[THEODORE,149.121854564,-35.4438411727,99.1631279747]
[KINGSTON,149.145483158,-35.3182524561,69.1286009607]
[OAKS ESTATE,149.228727624,-35.3397104,-17.6383768252]
[EVATT,149.069726361,-35.211183183,72.6659341482]
[CAMPBELL,149.159240887,-35.2910485319,82.8027141935]
[GREENWAY,149.066746945,-35.4141738309,98.3776012222]
[FISHER,149.055509815,-35.3608864958,76.3103787526]
[CURTIN,149.0750964,-35.3267886706,75.7791636806]
[TURNER,149.121178296,-35.2694957593,80.6897717873]
[HOLDER,149.045326133,-35.3346963723,90.317672214]
[HUGHES,149.096382797,-35.3331924375,90.9677178369]
[YARRALUMLA,149.095929771,-35.3047489931,89.592342841]
[BONYTHON,149.079329667,-35.435054127,72.6934080384]
[OXLEY,149.079182781,-35.40869145,86.4236202506]
[MOLONGLO,149.038191256,-35.2989816325,75.5805655702]
[MITCHELL,149.137009289,-35.2163760593,79.4512640159]
[PALMERSTON,149.118063459,-35.1956298571,81.3968171533]
[BELCONNEN,149.069056715,-35.2358456901,94.9328993042]
[NGUNNAWAL,149.109519229,-35.170697039,81.7083176819]
[CHIFLEY,149.073579676,-35.3522908529,95.5312054819]
[HIGGINS,149.027577704,-35.2315628158,80.6227578042]
[CALWELL,149.108927543,-35.4382632622,83.0160665939]
[HARRISON,149.158393392,-35.1970663399,91.7254887249]
[RIVETT,149.038092205,-35.3470926954,100.0]
[ARANDA,149.081748871,-35.2581260588,76.4363449543]
[BARTON,149.139665374,-35.308384,78.7830979261]
[REID,149.139748286,-35.2826925714,91.8597286975]
[GILMORE,149.137396622,-35.4148806919,62.6404550533]
[FRANKLIN,149.142191106,-35.1961336635,98.2700881665]
[DICKSON,149.1436442,-35.2529920444,88.9047422341]
[RICHARDSON,149.115586981,-35.4273187208,79.8825924181]
[HUME,149.165370943,-35.3929238864,22.3116935946]
[PAGE,149.049160068,-35.2381850485,73.8091934824]
[DOWNER,149.143360492,-35.2447324098,80.8357834515]
[DUNLOP,149.02779055,-35.1945161441,66.3154720625]
[WESTON,149.058695057,-35.3355913101,95.3238761822]
[TORRENS,149.086952403,-35.3677484545,80.0206722476]
[NICHOLLS,149.098635193,-35.1870451933,85.2684450368]
[FLYNN,149.044072795,-35.2051530267,58.4722376214]
[BEARD,149.211468192,-35.3414456923,3.23012727677e-11]
[HAWKER,149.038285054,-35.2463579279,68.380752842]
[MELBA,149.055003503,-35.2090849045,62.7022501775]
[PIALLIGO,149.18814489,-35.3154698931,39.5499944911]
[MONCRIEFF,149.115804899,-35.1579922946,72.4649920905]
[TAYLOR,149.110862571,-35.1494765571,69.4493639724]
[RUSSELL,149.150001347,-35.2999947551,87.2137106042]
[PHILLIP,149.091215519,-35.3470815577,95.2911077688]
[HOLT,149.01711611,-35.2243085195,95.8611252464]
[CHARNWOOD,149.036447847,-35.1998668898,63.5294527718]
[FLOREY,149.049575635,-35.2255077904,68.1836105433]
[KALEEN,149.103648739,-35.2297058848,88.6235188795]
[CITY,149.123860443,-35.2830900261,89.5780617532]
[HACKETT,149.165048628,-35.2507742568,65.6174745336]
[THROSBY,149.15896586,-35.1883297093,83.7570079422]
