[PARKES,149.133857492,-35.2969884918,85.3419767172]
[GOWRIE,149.109711883,-35.4138276496,83.3533557509]
[WEETANGERA,149.048306562,-35.251923405,73.1060726419]
[CAPITAL HILL,149.124029181,-35.3083402774,80.8248648185]
[PEARCE,149.086071191,-35.3630660636,82.7877424055]
[BONNER,149.139619878,-35.1587162296,73.6743339891]
[ISABELLA PLAINS,149.093083486,-35.4276209481,77.7110660151]
[FADDEN,149.11812099,-35.4079164796,75.7510388594]
[LYNEHAM,149.127598212,-35.2443615765,87.053693914]
[WRIGHT,149.034982145,-35.3188782319,37.5263684116]
[SYMONSTON,149.153952627,-35.3429742941,69.6422140546]
[CASEY,149.097603937,-35.1686163579,56.8105974693]
[GORDON,149.085086016,-35.4490815389,61.5514252185]
[FORREST,149.128055967,-35.3176251389,86.8512788347]
[DUFFY,149.037798935,-35.3351039496,45.749386948]
[ISAACS,149.111720911,-35.3681305852,60.6703556685]
[FRASER,149.042729948,-35.1902997547,59.633263404]
[ACTON,149.115216823,-35.2779044764,83.4805484924]
[BANKS,149.100112427,-35.4672617184,36.7448519457]
[THARWA,149.069088564,-35.5134253168,-4.08988398704e-11]
[GRIFFITH,149.138473668,-35.3248400594,92.257199217]
[SPENCE,149.065494677,-35.2007108387,63.0798124515]
[FORDE,149.145237911,-35.1656963577,77.0266175258]
[LYONS,149.07524819,-35.3396007143,90.7442398998]
[NARRABUNDAH,149.144797307,-35.3345770044,81.9301426269]
[GUNGAHLIN,149.142807298,-35.1869514719,89.7503326457]
[AMAROO,149.126922295,-35.1665954621,82.0136559093]
[WATSON,149.165268722,-35.2376328958,68.8708637915]
[AINSLIE,149.152771865,-35.2593877416,83.2221870696]
[LAWSON,149.088760862,-35.2245827195,75.0340037325]
[LATHAM,149.031155869,-35.2159109403,87.5550912717]
[MACQUARIE,149.063672496,-35.251601192,86.8577475084]
[BRADDON,149.134999222,-35.271568,91.1475971733]
[DENMAN PROSPECT,149.030126949,-35.2925384943,28.6672351195]
[O'CONNOR,149.113502315,-35.2592561544,71.7147816968]
[FYSHWICK,149.173717448,-35.3193919536,62.2647004778]
[CHISHOLM,149.12381298,-35.4222986309,64.1994313302]
[WANNIASSA,149.089598441,-35.3986038403,92.3294699398]
[URIARRA VILLAGE,148.92645395,-35.2961781,-34.5245319713]
[MONASH,149.088827199,-35.4162794208,86.8415763191]
[KAMBAH,149.065425584,-35.3832208768,69.4155862265]
[COOMBS,149.043235553,-35.3178430789,45.9724867898]
[CANBERRA AIRPORT,149.190566096,-35.3052917703,41.1751628764]
[MCKELLAR,149.077379864,-35.2166880132,77.9902667194]
[MACARTHUR,149.13007685,-35.4061550467,61.526421539]
[RED HILL,149.123244921,-35.3319722183,75.1384839039]
[MACGREGOR,149.019520636,-35.2123112308,92.4086274103]
[CONDER,149.099888152,-35.461485992,42.7416993142]
[CHAPMAN,149.036900965,-35.3545844273,44.5099392294]
[GARRAN,149.105130765,-35.3441543782,76.7048578772]
[COOK,149.067276969,-35.2581121145,81.612018982]
[CRACE,149.106651711,-35.2002624222,67.3255901796]
[DEAKIN,149.108499835,-35.3221307423,64.7206471379]
[HALL,149.065110537,-35.1708947794,32.2514987646]
[FARRER,149.108671676,-35.3761668108,69.687146801]
[SCULLIN,149.038824667,-35.2349028889,75.9270471209]
[BRUCE,149.08789529,-35.2429393167,79.5532532682]
[STIRLING,149.047677424,-35.3508462712,58.0071132811]
[GIRALANG,149.090731551,-35.2113854491,64.4072128885]
[WARAMANGA,149.062726862,-35.3525657248,75.3447756465]
[JACKA,149.130866818,-35.1564091883,72.5317159001]
[MAWSON,149.0992124,-35.35943805,78.1437690694]
[O'MALLEY,149.108536782,-35.3537122564,71.0513055099]
[THEODORE,149.121854564,-35.4438411727,50.9305526355]
[KINGSTON,149.145483158,-35.3182524561,95.9314811544]
[OAKS ESTATE,149.228727624,-35.3397104,-6.98098937353]
[EVATT,149.069726361,-35.211183183,74.2351119998]
[CAMPBELL,149.159240887,-35.2910485319,68.5249256619]
[GREENWAY,149.066746945,-35.4141738309,100.0]
[FISHER,149.055509815,-35.3608864958,63.9580622535]
[CURTIN,149.0750964,-35.3267886706,81.2079856338]
[TURNER,149.121178296,-35.2694957593,85.8174755544]
[HOLDER,149.045326133,-35.3346963723,54.6064558978]
[HUGHES,149.096382797,-35.3331924375,83.3322965645]
[YARRALUMLA,149.095929771,-35.3047489931,58.7471236784]
[BONYTHON,149.079329667,-35.435054127,77.6280731995]
[OXLEY,149.079182781,-35.40869145,88.1163205903]
[MOLONGLO,149.038191256,-35.2989816325,29.7191820006]
[MITCHELL,149.137009289,-35.2163760593,69.4046633847]
[PALMERSTON,149.118063459,-35.1956298571,81.7218014781]
[BELCONNEN,149.069056715,-35.2358456901,99.7681258676]
[NGUNNAWAL,149.109519229,-35.170697039,70.7923718049]
[CHIFLEY,149.073579676,-35.3522908529,87.3856315623]
[HIGGINS,149.027577704,-35.2315628158,88.7911332277]
[CALWELL,149.108927543,-35.4382632622,63.8602183088]
[HARRISON,149.158393392,-35.1970663399,68.6697843586]
[RIVETT,149.038092205,-35.3470926954,46.8558107123]
[ARANDA,149.081748871,-35.2581260588,76.9713725345]
[BARTON,149.139665374,-35.308384,94.8643625108]
[REID,149.139748286,-35.2826925714,91.1365248273]
[GILMORE,149.137396622,-35.4148806919,51.5002931527]
[FRANKLIN,149.142191106,-35.1961336635,85.9548541855]
[DICKSON,149.1436442,-35.2529920444,96.0818218984]
[RICHARDSON,149.115586981,-35.4273187208,68.9296187778]
[HUME,149.165370943,-35.3929238864,18.0862257868]
[PAGE,149.049160068,-35.2381850485,77.7864973892]
[DOWNER,149.143360492,-35.2447324098,95.6193126087]
[DUNLOP,149.02779055,-35.1945161441,72.4731298276]
[WESTON,149.058695057,-35.3355913101,70.5076518993]
[TORRENS,149.086952403,-35.3677484545,77.8282514356]
[NICHOLLS,149.098635193,-35.1870451933,61.329510011]
[FLYNN,149.044072795,-35.2051530267,68.5105205618]
[BEARD,149.211468192,-35.3414456923,12.6748056774]
[HAWKER,149.038285054,-35.2463579279,68.7228633912]
[MELBA,149.055003503,-35.2090849045,67.3725900936]
[PIALLIGO,149.18814489,-35.3154698931,45.0251178507]
[MONCRIEFF,149.115804899,-35.1579922946,67.7340972296]
[TAYLOR,149.110862571,-35.1494765571,57.0695243475]
[RUSSELL,149.150001347,-35.2999947551,82.7527114154]
[PHILLIP,149.091215519,-35.3470815577,93.0965882534]
[HOLT,149.01711611,-35.2243085195,98.002754743]
[CHARNWOOD,149.036447847,-35.1998668898,72.1107034299]
[FLOREY,149.049575635,-35.2255077904,74.8811067481]
[KALEEN,149.103648739,-35.2297058848,60.0740925216]
[CITY,149.123860443,-35.2830900261,93.9474471441]
[HACKETT,149.165048628,-35.2507742568,71.406539574]
[THROSBY,149.15896586,-35.1883297093,70.1853422242]
