stop_lat,stop_name,stop_id,the_geom,stop_lon
-35.419796,Anketell St opp Tuggeranong Square,1067,POINT (149.07084700021156 -35.41979599933903),149.070847
-35.419975,Anketell St after Bunnings Warehouse,1068,POINT (149.07083100021154 -35.419974999339),149.070831
-35.430393,Ellerston Av before Noorooma Av,1069,POINT (149.08816500022513 -35.43039299933753),149.088165
-35.430126,Ellerston Av after Noorooma Av,1070,POINT (149.08825700022518 -35.43012599933756),149.088257
-35.431595,Ellerston Av after Keverstone Cct,1071,POINT (149.08880600022565 -35.43159499933738),149.088806
-35.431553,Ellerston Av before Kadina St,1072,POINT (149.08889800022573 -35.431552999337384),149.088898
-35.431904,Ellerston Av after Jasper Cl,1073,POINT (149.0923770002285 -35.431903999337266),149.092377
-35.431675,Ellerston Av after Kadina St,1074,POINT (149.0920560002283 -35.43167499933728),149.092056
-35.433964,Ellerston Av after Johnston Dr,1075,POINT (149.09466600023038 -35.433963999336996),149.094666
-35.433781,Ellerston Av after 2nd Galloway St,1076,POINT (149.0946500002304 -35.43378099933702),149.09465
-35.435753,Outtrim Av 2nd after Gurr St,1077,POINT (149.09866300023367 -35.43575299933671),149.098663
-35.435688,Outtrim Av after Johnson Dr,1078,POINT (149.09840400023344 -35.435687999336736),149.098404
-35.435898,Outtrim Av after Carter Cr,1079,POINT (149.10202000023648 -35.43589799933663),149.10202
-35.435978,Outtrim Av after Gurr St,1080,POINT (149.10194400023641 -35.43597799933661),149.101944
-35.436062,Outtrim Av after 2nd Carter Cr,1081,POINT (149.10467500023867 -35.43606199933653),149.104675
-35.436089,Outtrim Av 2nd after Mountain Cct,1082,POINT (149.1048280002388 -35.43608899933653),149.104828
-35.435623,Outtrim Av after Costello Cct,1083,POINT (149.10948200024276 -35.43562299933645),149.109482
-35.435703,Outtrim Av after Mountain Cct,1084,POINT (149.10948200024276 -35.43570299933645),149.109482
-35.438694,Casey Cr after Dougharty Pl,1085,POINT (149.1103520002435 -35.43869399933611),149.110352
-35.43858,Casey Cr after Carpenter Cl,1086,POINT (149.11041300024354 -35.438579999336135),149.110413
-35.417179,Barraclough Cr after Cowdery Pl,1087,POINT (149.10064700023517 -35.417178999338596),149.100647
-35.417183,Barraclough Cr after Ashley Dr,1088,POINT (149.10037200023496 -35.41718299933861),149.100372
-35.440018,Casey Cr after O'Connor Cct,1089,POINT (149.1131440002459 -35.4400179993359),149.113144
-35.439957,Casey Cr after Loader Cr,1090,POINT (149.11323500024596 -35.43995699933591),149.113235
-35.433498,Johnson Dr Calwell Park and Ride,1091,POINT (149.11128200024424 -35.43349799933663),149.111282
-35.44112,Casey Cr 3rd after Were St,1092,POINT (149.11592100024828 -35.44111999933572),149.115921
-35.433212,Johnson Dr Opp Calwell Park and Ride,1093,POINT (149.11259500024536 -35.433211999336635),149.112595
