ASSET_ID,EQUIPMENT,LOCATION,DIVISION_NAME,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
Plgr271,"This playground has 1 play area with a total of 9 structures, featuring a climbing structure a combination of play structures 3 rockers 3 rotating items a swing.",Sangster Place,Wanniassa,,,-35.390615,149.085641,"(-35.390615, 149.085641)"
Plgr588,"This playground has 3 play areas with a total of 7 structures, featuring a combination of play structures a goal a rocker 2 rotating items 2 swings.",Dillon Close,Weston,,,-35.337036,149.055013,"(-35.337036, 149.055013)"
Plgr202,"This playground has 4 play areas with a total of 2 structures, featuring a combination of play structures a swing.",Mueller Street,Yarralumla,,,-35.307112,149.10071,"(-35.307112, 149.10071)"
Plgr211,"This playground has 4 play areas with a total of 5 structures, featuring a climbing structure a combination of play structures a sculpture 2 swings.",Weston Park (East),Yarralumla,,,-35.291804,149.089487,"(-35.291804, 149.089487)"
Plgr655,"This playground has 4 play areas with a total of 10 structures, featuring 2 climbing structures 2 rockers a rotating item a slide 4 swings.",Kilmeny Close Community Park (Crip),Franklin,,,-35.197584,149.14396,"(-35.197584, 149.14396)"
Plgr381,"This playground has 4 play areas with a total of 8 structures, featuring 2 climbing structures 2 combinations of play structures a rocker 3 swings.",Launceston St,Phillip,,,-35.341087,149.091251,"(-35.341087, 149.091251)"
Plgr278,"This playground has 7 play areas with a total of 24 structures, featuring a balancing item a bridge 6 climbing structures 2 combinations of play structures a rocker 3 rotating items 2 sandy play areas a sculpture a slide 6 swings.",Mcgilvray Close,Gordon,,,-35.456053,149.08378,"(-35.456053, 149.08378)"
Plgr620,This playground has no play structures.,Coree - Cotter Road,Paddys River (Rural Dist.),,,-35.323777,148.941354,"(-35.323777, 148.941354)"
Plgr669,"This playground has 2 play areas with a total of 8 structures, featuring a combination of play structures 2 rockers a sound tube 2 swings.",Wanderlight Avenue Neibourhood Park,Lawson,,,-35.229362,149.091729,"(-35.229362, 149.091729)"
Plgr493,"This playground has 1 play area with a total of 2 structures, featuring a combination of play structures a rocker.",Hawker Shopping Centre,Hawker,,,-35.243443,149.043895,"(-35.243443, 149.043895)"
Plgr178,"This playground has 4 play areas with a total of 5 structures, featuring 2 combinations of play structures a rotating item 2 swings.",Finn Street,O'connor,,,-35.260858,149.117883,"(-35.260858, 149.117883)"
