,Quarter,Q1,,,,,,,,,,,,,Q2,,,,,,,,,,,,,Q3,,,,,,,,,,,,,Q4,,,,,,,,,,,,
,Source,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury
,Farrer,0,1,0,0,2,0,2,2,5,3,5,0,0,0,1,0,0,5,0,0,7,7,4,8,0,1,0,1,0,0,4,0,0,2,4,17,3,0,1,0,2,0,0,1,0,0,6,26,1,4,2,0
,Garran,0,14,2,0,1,1,3,16,25,4,21,0,3,0,11,0,2,8,1,3,11,15,19,18,0,0,0,3,0,0,5,0,0,9,10,10,25,0,0,0,13,2,0,14,0,0,11,5,4,18,0,0
,Hughes,0,1,0,0,1,0,0,1,6,7,14,0,0,0,1,0,0,3,1,1,6,7,4,11,0,2,0,1,0,0,0,0,0,3,6,13,9,0,0,0,1,1,0,2,0,0,2,4,5,11,0,0
,Isaacs,0,2,0,0,3,0,1,2,2,3,6,0,1,0,0,0,0,1,0,2,13,5,2,12,0,1,0,0,0,0,0,0,1,0,7,9,7,0,1,0,2,0,0,2,0,1,2,3,2,4,0,1
,Lyons,0,6,2,0,2,0,1,19,16,7,10,0,3,0,4,0,0,10,0,5,34,7,10,44,0,0,0,3,0,3,6,2,2,37,15,12,21,0,0,0,8,0,0,6,0,1,10,7,11,20,0,0
,Mawson,0,2,1,0,3,0,4,16,25,10,35,0,2,0,0,0,0,2,1,2,3,22,5,45,0,1,0,4,1,1,3,1,5,14,13,20,58,0,3,0,5,1,0,13,1,2,8,48,10,56,0,2
,O'Malley,0,5,0,0,0,0,0,1,2,3,0,0,0,0,1,0,0,4,0,2,1,2,6,5,0,0,0,0,0,0,1,0,1,0,1,3,0,0,1,0,0,0,0,1,0,0,0,3,0,2,0,0
,Pearce,0,2,33,1,0,0,1,0,1,3,8,0,0,0,1,0,0,3,1,0,2,5,4,9,0,0,0,2,0,0,3,0,1,3,11,0,9,0,1,0,3,1,0,5,0,0,4,3,2,11,0,0
,Phillip,0,13,0,0,5,2,7,39,56,59,117,0,4,0,13,2,1,13,0,7,53,74,58,129,0,4,0,16,3,3,11,2,11,37,86,71,114,0,5,0,14,2,3,23,1,7,67,80,35,140,0,2
,Torrens,0,0,0,0,1,0,1,4,5,8,2,0,0,0,5,0,0,6,0,0,5,2,3,5,0,0,0,1,0,0,1,1,3,3,3,2,8,0,0,0,2,0,0,3,0,0,2,4,1,9,0,1
Tuggeranong,,3,85,18,6,93,10,49,256,583,294,548,0,22,0,101,25,13,163,10,89,307,448,349,640,2,18,0,125,53,12,135,3,54,239,515,491,479,2,22,0,158,38,19,117,3,51,287,462,379,498,1,23
,Banks,0,2,3,0,13,0,1,8,6,2,31,0,1,0,4,0,2,8,0,1,13,13,6,25,0,0,0,5,7,0,3,0,2,16,13,9,7,0,0,0,9,0,0,13,0,1,9,17,5,17,0,0
,Bonython,0,2,11,0,1,0,3,9,21,5,7,0,1,0,3,0,0,4,1,3,12,7,14,7,0,0,0,5,0,2,6,0,0,11,24,13,12,0,1,0,4,5,0,1,0,1,5,8,11,10,0,2
,Calwell,1,3,0,0,12,1,7,19,30,7,42,0,2,0,4,0,1,10,2,4,26,33,11,52,0,2,0,5,2,0,10,1,0,12,37,17,37,0,1,0,13,0,4,10,0,2,21,22,16,38,1,0
,Chisholm,0,6,0,0,2,1,4,20,19,14,35,0,0,0,5,1,0,8,0,4,18,27,23,83,0,0,0,5,5,0,11,0,3,10,12,21,30,0,1,0,10,1,1,3,0,5,21,29,10,27,0,0
,Conder,0,5,0,0,1,0,1,18,19,15,46,0,1,0,9,3,3,5,0,5,19,14,9,37,0,1,0,11,3,1,9,0,0,14,18,13,28,0,1,0,13,4,0,7,1,6,20,22,9,38,0,2
,Fadden,0,3,0,0,5,1,2,5,12,8,12,0,0,0,0,0,1,8,0,3,10,5,3,21,1,0,0,0,0,0,4,0,3,3,23,10,12,0,0,0,1,1,1,3,0,1,11,8,11,6,0,0
,Gilmore,0,3,0,1,2,0,1,8,11,14,13,0,0,0,3,1,0,4,0,3,8,19,21,12,0,0,0,2,1,0,1,0,1,8,21,27,9,1,1,0,3,0,0,1,0,1,7,7,16,5,0,2
,Gordon,1,9,0,0,6,0,1,27,34,16,34,0,0,0,8,3,0,8,0,6,18,21,13,30,0,1,0,5,1,0,7,0,4,12,14,33,22,0,1,0,11,0,0,4,0,3,15,52,31,16,0,1
,Gowrie,0,2,0,0,9,1,1,8,17,6,17,0,1,0,2,0,0,2,0,2,6,7,13,15,0,0,0,2,0,0,2,0,5,9,19,5,6,0,0,0,3,0,0,5,1,1,12,11,12,9,0,1
,Greenway,0,18,1,2,2,1,2,25,80,68,74,0,5,0,9,4,1,14,0,7,33,52,57,86,0,4,0,15,3,1,17,0,6,24,80,111,113,0,2,0,29,25,5,15,0,2,25,60,49,101,0,1
,Isabella Plains,0,1,0,0,2,0,4,4,19,9,14,0,1,0,2,0,0,4,0,2,5,22,16,22,0,1,0,6,11,0,3,0,0,9,11,18,8,0,0,0,6,0,1,4,0,2,19,16,14,14,0,0
,Kambah,0,13,1,0,22,5,12,42,202,60,96,0,2,0,30,12,2,39,5,27,56,119,75,105,0,3,0,22,20,4,29,1,7,53,97,128,59,1,2,0,22,1,4,13,0,10,46,73,96,98,0,1
,Macarthur,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,3,0,0,4,5,13,4,0,0,0,6,0,0,0,0,2,1,2,12,5,0,0,0,0,0,1,0,0,0,2,1,12,2,0,1
,Monash,0,3,0,0,3,0,4,12,28,9,34,0,4,0,3,1,2,9,0,9,14,20,16,24,1,1,0,4,0,0,7,0,6,10,18,7,25,0,5,0,5,0,0,9,0,2,15,29,21,15,0,4
,Oxley,0,1,0,1,1,0,0,8,1,4,7,0,0,0,2,0,0,5,0,2,2,5,10,5,0,0,0,1,0,0,2,0,2,3,5,11,9,0,0,0,7,0,0,3,0,0,5,6,7,5,0,0
,Richardson,0,2,0,0,4,0,1,10,18,8,10,0,2,0,2,0,0,3,0,4,17,23,10,18,0,1,0,5,0,3,5,0,5,8,34,11,15,0,1,0,2,1,0,4,0,4,7,30,9,7,0,2
,Theodore,0,4,1,2,3,0,2,8,8,2,12,0,1,0,2,0,1,9,0,2,10,10,5,11,0,1,0,13,0,1,4,0,2,3,23,9,11,0,4,0,8,0,2,2,0,4,12,15,4,16,0,1
,Wanniassa,1,8,1,0,4,0,3,24,58,41,64,0,1,0,13,0,0,20,2,5,36,46,34,83,0,3,0,13,0,0,15,1,6,33,64,36,71,0,2,0,12,0,0,20,1,6,35,56,46,74,0,5
Miscellaneous,,0,5,0,0,5,0,1,5,24,29,13,0,4,0,2,0,0,5,0,1,18,31,50,22,0,0,0,1,0,0,1,0,1,18,31,58,29,0,7,0,5,0,2,2,0,3,3,29,42,15,1,3
,Coree/Uriarra,0,0,0,0,0,0,1,0,2,3,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
,Hume,0,5,0,0,5,0,0,4,20,25,12,0,2,0,2,0,0,3,0,0,15,26,45,18,0,0,0,1,0,0,1,0,1,13,24,44,28,0,4,0,4,0,2,2,0,3,3,22,40,15,0,3
,Tharwa,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,0,0
,Williamsdale,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
