,Quarter,Q1,,,,,,,,,,,,,Q2,,,,,,,,,,,,,Q3,,,,,,,,,,,,,Q4,,,,,,,,,,,,
,Source,4th April 2016,,,,,,,,,,,,,2-Jul-16,,,,,,,,,,,,,4-Oct-16,,,,,,,,,,,,,3-Jan-17,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury
Belconnen,,0,146,32,37,99,6,19,216,499,692,423,0,25,0,145,19,17,94,9,83,268,693,683,540,0,38,0,121,18,18,103,10,66,230,593,1067,435,0,23,0,156,28,26,82,11,51,287,672,883,419,0,27
,Aranda,0,4,0,0,3,0,0,9,20,100,5,0,1,0,1,0,0,1,1,3,2,17,66,10,0,5,0,5,0,0,2,0,1,1,25,121,3,0,1,0,4,0,0,3,0,0,9,20,100,5,0,1
,Belconnen,0,36,4,4,14,5,13,116,171,161,145,0,3,0,33,3,0,21,2,15,52,149,171,177,0,7,0,25,9,7,23,3,8,45,132,203,168,0,2,0,36,4,4,14,5,13,116,171,161,145,0,3
,Bruce,0,5,2,4,2,1,3,9,33,146,17,0,2,0,7,1,2,6,1,9,39,36,92,45,0,4,0,5,0,0,8,0,3,14,37,112,18,0,4,0,5,2,4,2,1,3,9,33,146,17,0,2
,Charnwood,0,9,0,1,1,2,1,6,58,29,8,0,2,0,8,0,1,5,0,1,13,37,21,21,0,1,0,6,1,0,1,0,6,13,30,32,16,0,1,0,9,0,1,1,2,1,6,58,29,8,0,2
,Cook,0,0,0,0,1,0,1,2,10,52,11,0,2,0,3,1,0,2,0,1,0,6,29,4,0,0,0,4,1,0,8,1,3,11,15,83,9,0,1,0,0,0,0,1,0,1,2,10,52,11,0,2
,Dunlop,0,11,1,0,1,0,0,11,21,14,7,0,1,0,10,2,0,3,0,7,10,63,12,23,0,1,0,8,0,0,2,0,5,13,26,25,9,0,0,0,11,1,0,1,0,0,11,21,14,7,0,1
,Evatt,0,8,0,4,8,1,1,6,16,17,19,0,1,0,2,0,1,8,0,3,10,25,20,11,0,1,0,2,0,0,8,0,3,7,19,6,11,0,0,0,8,0,4,8,1,1,6,16,17,19,0,1
,Florey,0,6,4,2,7,0,2,13,34,29,19,0,3,0,13,2,3,7,0,1,14,22,26,17,0,1,0,5,0,1,1,0,2,6,21,56,18,0,1,0,6,4,2,7,0,2,13,34,29,19,0,3
,Flynn,0,7,4,0,2,0,0,5,21,6,3,0,1,0,4,0,0,1,0,2,6,16,7,8,0,2,0,2,0,0,1,1,3,0,8,11,2,0,0,0,7,4,0,2,0,0,5,21,6,3,0,1
,Fraser,0,0,0,1,2,0,1,5,17,11,5,0,0,0,1,1,1,6,1,3,4,33,12,6,0,1,0,0,0,0,4,0,0,4,6,11,3,0,0,0,0,0,1,2,0,1,5,17,11,5,0,0
,Giralang,0,0,0,0,2,0,1,5,14,16,9,0,0,0,3,0,0,0,1,1,13,10,11,14,0,0,0,2,0,1,0,0,1,4,13,12,2,0,3,0,0,0,0,2,0,1,5,14,16,9,0,0
