,Quarter,Q1,,,,,,,,,,,,,Q2,,,,,,,,,,,,,Q3,,,,,,,,,,,,,Q4,,,,,,,,,,,,
,Hawker,0,0,1,0,2,0,1,6,16,34,25,0,2,0,2,0,2,2,0,5,11,13,24,31,0,1,0,5,0,0,5,0,4,7,18,61,33,0,2,0,0,1,0,2,0,1,6,16,34,25,0,2
,Higgins,0,2,3,0,0,0,4,2,22,26,4,0,0,0,4,0,0,2,0,2,6,35,8,6,0,4,0,3,0,0,0,0,0,5,14,11,9,0,1,0,2,3,0,0,0,4,2,22,26,4,0,0
,Holt,0,8,1,0,7,0,3,18,52,64,32,0,2,0,7,2,1,3,1,5,29,69,38,48,0,0,0,13,1,1,6,1,9,23,57,85,43,0,2,0,8,1,0,7,0,3,18,52,64,32,0,2
,Kaleen,0,6,2,0,4,1,1,15,31,37,26,0,0,0,6,1,1,2,0,1,12,21,26,20,0,3,0,3,2,1,3,1,2,4,7,45,6,0,1,0,6,2,0,4,1,1,15,31,37,26,0,0
,Latham,0,6,0,3,1,0,1,8,13,11,10,0,0,0,1,0,0,3,1,0,2,20,19,5,0,1,0,0,0,0,1,0,0,6,15,22,6,0,1,0,6,0,3,1,0,1,8,13,11,10,0,0
,Lawson,0,0,0,0,2,0,0,2,1,8,1,0,0,0,0,0,0,0,0,2,2,0,3,2,0,0,0,0,0,0,3,0,0,2,2,2,2,0,0,0,0,0,0,2,0,0,2,1,8,1,0,0
,Macgregor,0,8,0,0,7,0,8,10,42,13,19,0,2,0,2,1,0,3,0,11,12,27,15,26,0,0,0,5,1,1,5,0,4,20,41,20,12,0,0,0,8,0,0,7,0,8,10,42,13,19,0,2
,Macquarie,0,7,0,1,4,1,3,14,5,31,21,0,0,0,10,4,2,3,0,2,8,18,28,20,0,0,0,6,0,0,2,0,3,9,21,46,22,0,3,0,7,0,1,4,1,3,14,5,31,21,0,0
,McKellar,0,6,1,2,1,0,0,5,10,8,2,0,0,0,11,0,0,3,0,2,3,10,9,8,0,3,0,3,0,5,3,0,1,2,11,11,5,0,0,0,6,1,2,1,0,0,5,10,8,2,0,0
,Melba,0,8,0,1,2,0,2,4,20,6,12,0,0,0,1,0,0,5,1,2,3,10,11,8,0,0,0,2,1,1,5,1,1,5,29,21,10,0,0,0,8,0,1,2,0,2,4,20,6,12,0,0
,Page,0,12,1,0,1,0,3,8,7,17,5,0,2,0,4,1,0,2,0,1,5,19,7,6,0,1,0,7,1,0,2,1,3,14,18,15,4,0,0,0,12,1,0,1,0,3,8,7,17,5,0,2
,Scullin,0,2,0,2,0,0,1,2,14,12,4,0,0,0,11,0,2,2,0,3,8,14,16,10,0,1,0,7,0,0,0,0,2,8,17,17,8,0,0,0,2,0,2,0,0,1,2,14,12,4,0,0
,Spence,0,4,4,1,7,0,1,2,16,21,6,0,3,0,1,0,0,4,0,1,3,21,8,11,0,1,0,3,0,0,5,0,0,4,10,13,10,0,0,0,4,4,1,7,0,1,2,16,21,6,0,3
,Weetangera,0,1,0,0,1,0,0,4,8,14,4,0,0,0,0,0,1,0,0,0,1,2,4,3,0,0,0,0,1,0,5,1,2,3,1,26,6,0,0,0,1,0,0,1,0,0,4,8,14,4,0,0
Gungahlin,,1,73,6,2,62,2,23,111,293,425,219,0,9,0,84,14,7,88,3,26,126,282,365,275,1,16,0,83,13,1,105,2,45,129,298,479,307,0,21,0,78,10,11,89,1,18,131,272,409,222,0,15
,Amaroo,0,5,0,0,7,0,2,17,12,6,11,0,0,0,2,7,1,6,0,0,11,29,11,20,0,0,0,9,1,0,5,0,1,11,26,18,13,0,3,0,9,0,0,2,0,1,14,11,5,33,0,0
,Bonner,0,5,0,1,4,0,2,7,6,9,11,0,0,0,7,0,0,0,0,0,4,11,6,5,0,0,0,8,0,0,1,2,4,1,17,13,9,0,1,0,2,2,2,2,0,0,4,24,7,10,0,1
,Casey ,0,0,1,0,11,0,2,1,17,10,17,0,0,0,3,0,0,9,0,1,6,12,5,28,0,0,0,7,0,0,20,0,4,6,14,23,57,0,1,0,7,5,4,4,1,1,8,13,21,29,0,0
,Crace,0,0,0,0,4,0,0,6,8,13,7,0,0,0,3,0,2,7,0,2,6,13,6,23,0,1,0,1,2,0,11,0,2,5,14,9,14,0,0,0,3,1,0,6,0,2,1,23,4,9,0,1
,Forde,0,4,4,0,2,0,3,2,16,6,7,0,0,0,1,2,0,3,0,1,2,8,4,6,0,0,0,4,1,1,2,0,3,5,9,4,5,0,0,0,2,1,0,0,0,0,6,8,9,2,0,0
,Franklin,0,4,0,0,9,0,1,8,13,85,17,0,0,0,6,1,0,11,0,3,8,20,51,20,0,0,0,8,1,0,16,0,2,14,17,108,28,0,0,0,5,1,1,16,0,2,14,21,64,17,0,1
,Gungahlin,0,20,0,0,2,2,5,13,77,89,62,0,4,0,27,2,1,14,0,6,33,57,82,92,0,7,0,15,2,0,9,0,1,19,68,91,88,0,7,0,17,0,0,10,0,5,20,60,80,48,0,3
,Hall,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
,Harrison,0,3,0,0,6,0,1,8,12,36,11,0,1,0,4,1,0,6,0,1,9,10,48,24,0,0,0,2,0,0,10,0,4,6,13,65,14,0,1,0,4,0,1,13,0,0,6,11,50,8,0,2
,Jacka,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0
,Kenny,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
,Kinlyside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mitchell,0,4,0,0,4,0,3,3,30,98,19,0,1,0,4,0,0,6,0,2,6,28,78,8,0,3,0,6,0,0,7,0,5,9,50,69,17,0,4,0,0,0,0,10,0,1,4,34,66,15,0,5
,Moncrieff,0,0,0,0,1,0,0,8,1,5,0,0,0,0,0,0,0,2,0,0,5,1,14,4,0,0,0,0,0,0,4,0,0,4,5,27,4,0,1,0,0,0,0,9,0,1,3,4,28,5,0,0
,Ngunnawal,0,9,1,1,8,0,1,24,29,8,31,0,2,0,18,0,3,14,1,2,14,24,12,18,1,2,0,10,2,0,12,0,8,22,17,7,22,0,0,0,11,0,1,5,0,0,20,17,8,27,0,1
,Nicholls,0,8,0,0,2,0,1,3,52,21,14,0,1,0,3,1,0,5,2,4,16,36,15,11,0,1,0,6,4,0,6,0,3,12,16,21,22,0,2,0,9,0,1,8,0,1,11,19,25,11,0,1
,Palmerston,0,10,0,0,2,0,2,7,20,19,10,0,0,0,3,0,0,4,0,4,4,29,19,15,0,2,0,7,0,0,1,0,5,13,29,12,14,0,1,0,9,0,1,4,0,3,19,24,29,6,0,0
,Taylor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Throsby,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0
North Canberra,,0,176,22,17,90,8,41,188,600,674,494,0,37,0,181,22,8,118,16,66,240,610,577,596,0,30,0,161,24,10,111,18,51,205,666,836,466,0,29,1,215,25,6,103,24,48,217,641,741,440,1,26
,Acton,0,3,1,0,1,0,0,6,37,84,22,0,4,0,2,1,1,8,0,9,24,23,44,38,0,1,0,4,0,2,7,0,3,16,27,85,25,0,1,0,3,3,0,1,3,2,8,21,89,19,0,3
,Ainslie,0,7,1,1,1,0,1,12,27,18,17,0,2,0,5,1,0,9,0,4,10,15,20,26,0,2,0,9,1,0,6,0,3,13,25,23,15,0,1,0,7,2,0,20,1,4,17,13,10,24,0,1
,Black Mountain,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
,Braddon,0,22,1,3,26,2,14,36,79,91,96,0,4,0,23,4,0,24,2,12,54,98,57,103,0,6,0,5,2,1,19,3,10,38,57,65,57,0,3,0,9,1,0,16,4,5,28,35,50,52,0,2
,Campbell,0,6,1,0,2,0,2,7,8,13,14,0,0,0,4,2,0,3,0,8,6,12,29,11,0,2,0,1,3,0,2,1,3,7,26,24,12,0,1,0,2,0,0,6,0,1,9,7,18,9,0,0
,City,0,95,8,6,15,2,7,41,275,110,153,0,9,0,103,9,3,11,6,5,50,253,134,192,0,3,0,107,12,6,13,13,7,35,315,209,164,0,5,0,146,7,1,2,7,6,47,318,195,153,0,8
,Dickson,0,9,3,0,5,2,1,11,36,50,47,0,0,0,6,0,0,7,2,5,7,42,40,48,0,6,0,6,0,0,6,1,4,7,50,81,39,0,6,0,7,0,0,8,6,3,14,56,63,35,0,1
,Downer,0,1,2,1,3,0,1,9,4,2,12,0,0,0,6,1,0,3,0,0,8,12,14,6,0,1,0,3,0,0,5,0,0,6,5,12,6,0,0,0,7,0,1,4,0,1,7,8,13,10,1,0
,Duntroon,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
,Hackett,0,2,0,2,1,0,0,5,5,5,11,0,1,0,1,0,0,3,0,1,4,8,1,9,0,0,0,2,0,0,3,0,0,2,4,3,4,0,0,0,2,0,1,4,1,3,7,7,6,8,0,0
,Lyneham,0,3,0,0,9,0,5,18,24,61,36,0,1,0,12,1,2,5,2,1,12,41,50,58,0,4,0,6,1,0,10,0,8,20,35,60,49,0,1,0,10,1,0,8,1,8,14,52,60,27,0,3
,Majura,0,0,0,0,0,0,0,1,9,88,9,0,2,0,1,0,0,0,0,0,0,9,45,6,0,0,0,0,1,0,1,0,1,1,12,82,5,0,1,0,0,0,1,0,0,0,0,13,69,3,0,1
,O'Connor,0,5,0,0,10,0,1,9,14,22,17,0,3,0,2,0,0,16,0,2,7,14,28,29,0,0,0,4,0,0,7,0,2,10,24,37,20,0,2,0,1,0,0,6,0,2,14,16,43,14,0,3
,Parkes,0,5,0,0,0,0,0,2,19,18,6,0,3,0,2,0,1,3,1,2,11,15,8,9,0,1,0,2,1,0,1,0,0,4,20,29,4,0,2,0,2,0,0,1,0,1,2,16,14,5,0,2
,Reid,0,4,1,1,7,0,5,12,29,22,15,0,2,0,8,0,0,6,2,10,20,24,21,23,0,2,0,4,0,0,11,0,3,16,26,22,23,0,1,0,9,1,1,12,1,4,26,43,25,27,0,1
,Russell,0,3,0,0,1,0,0,4,4,19,0,0,1,0,0,0,0,0,0,2,4,4,15,2,0,1,0,0,1,0,0,0,0,1,5,24,3,0,2,0,0,3,0,0,0,1,1,8,29,3,0,0
,Turner,0,5,0,0,5,2,4,9,12,28,24,0,2,0,4,2,0,15,1,4,14,21,30,21,0,1,0,1,1,0,14,0,4,14,10,39,21,0,2,0,1,2,0,8,0,4,8,11,29,30,0,0
,Watson,0,6,4,3,4,0,0,6,17,22,14,0,3,0,2,1,1,5,0,1,9,18,9,15,0,0,0,7,1,1,6,0,3,13,23,24,19,0,0,1,9,5,1,7,0,3,15,17,15,21,0,1
South Canberra,,1,47,6,5,124,4,25,175,234,306,310,1,19,0,49,11,6,105,6,43,168,281,266,373,0,28,0,52,1,6,82,2,28,137,301,371,290,1,10,0,54,14,17,101,3,36,175,307,257,294,0,17
,Barton,0,0,0,0,2,0,1,5,16,13,3,0,2,0,0,0,0,2,0,3,5,17,21,8,0,1,0,1,0,0,2,0,1,9,19,22,12,0,1,0,1,2,0,2,0,1,5,16,13,9,0,2
,Beard,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,2,3,0,1
,Capital Hill,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,1,7,1,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1
,Deakin,0,2,0,1,5,0,1,9,12,33,18,1,1,0,5,0,1,4,0,7,13,19,18,21,0,2,0,5,0,0,2,0,0,13,21,48,24,0,1,0,6,2,0,6,0,2,8,17,26,14,0,0
,Forrest,0,0,0,2,1,0,0,3,3,4,6,0,1,0,1,0,0,5,0,0,6,7,3,3,0,2,0,2,0,1,4,0,1,5,5,11,2,0,0,0,0,1,1,0,0,0,4,4,7,6,0,1
,Fyshwick,0,2,3,0,29,2,7,29,51,76,70,0,5,0,9,0,1,23,3,11,23,50,57,90,0,6,0,4,0,0,17,0,4,20,64,84,72,0,1,0,4,4,0,23,0,11,32,73,78,58,0,1
,Griffith,1,9,0,0,27,1,4,37,32,12,52,0,3,0,8,0,0,20,2,5,40,50,34,89,0,7,0,13,0,1,11,2,4,20,60,31,63,0,1,0,13,0,11,19,0,3,27,65,19,65,0,2
,Harman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Kingston,0,8,0,0,26,1,4,17,20,11,35,0,1,0,2,0,0,19,0,3,14,11,15,36,0,2,0,10,1,1,15,0,5,24,26,26,25,0,2,0,3,0,2,7,1,2,16,22,13,35,0,0
,Narrabundah,0,13,2,0,16,0,6,35,38,40,72,0,1,0,8,3,2,11,1,6,24,42,25,53,0,3,0,10,0,1,12,0,3,23,42,14,44,0,1,0,14,4,1,16,1,8,32,60,19,51,0,2
,Oaks Estate,0,1,0,0,0,0,0,4,1,1,4,0,1,0,6,8,0,1,0,1,2,7,6,3,0,0,0,1,0,0,1,0,3,1,2,2,2,0,0,0,0,0,0,2,0,4,3,2,5,1,0,0
,Pialligo,0,0,0,0,1,0,0,0,5,52,1,0,0,0,0,0,1,1,0,2,1,4,32,1,0,0,0,0,0,0,2,0,0,1,6,45,2,0,2,0,0,0,0,1,0,0,2,3,21,4,0,3
,Red Hill,0,3,0,0,10,0,0,19,20,16,29,0,0,0,4,0,0,15,0,2,17,33,14,50,0,0,0,5,0,2,8,0,3,14,34,14,26,0,0,0,6,0,2,9,1,0,23,23,6,15,0,0
,Symonston,0,7,1,0,4,0,2,7,6,18,4,0,1,0,1,0,0,0,0,1,5,9,12,4,0,0,0,1,0,0,2,0,1,4,11,34,3,0,1,0,6,0,0,6,0,0,11,12,14,10,0,2
,Yarralumla,0,2,0,1,3,0,0,10,19,29,16,0,2,0,4,0,1,4,0,2,17,25,26,14,0,4,0,0,0,0,6,0,3,3,8,37,15,1,0,0,0,1,0,8,0,4,10,7,29,22,0,2
Weston Creek,,0,24,3,1,32,0,3,58,236,49,125,1,7,0,21,9,1,42,1,12,81,76,73,164,0,6,0,25,5,2,14,3,16,53,99,83,87,0,10,0,22,6,3,40,3,9,42,97,79,83,0,9
,Chapman,0,1,0,0,5,0,0,1,157,0,9,0,0,0,0,2,0,2,0,0,2,1,0,7,0,0,0,1,0,0,4,0,2,5,3,4,7,0,0,0,1,0,2,2,0,0,1,4,5,6,0,0
,Duffy,0,2,0,0,1,0,0,4,4,1,12,0,1,0,4,0,0,2,0,1,5,8,9,9,0,1,0,5,0,0,0,0,0,6,3,5,7,0,0,0,4,0,0,4,1,1,4,6,1,6,0,1
,Fisher,0,2,0,0,0,0,0,2,7,12,6,0,1,0,0,1,1,7,0,0,9,4,3,13,0,0,0,6,2,1,1,1,4,9,11,9,10,0,0,0,4,2,0,2,0,0,2,8,10,6,0,1
,Holder,0,0,0,0,3,0,0,4,5,1,12,0,2,0,3,3,0,8,0,1,17,5,2,28,0,2,0,2,0,0,1,0,2,4,5,6,4,0,0,0,1,1,1,1,1,1,7,10,1,3,0,1
,Rivett,0,10,1,0,4,0,0,8,10,0,6,0,0,0,4,1,0,2,0,1,9,1,2,16,0,0,0,1,1,1,1,1,1,7,16,0,13,0,1,0,3,0,0,8,0,0,15,12,2,15,0,1
,Stirling,0,2,1,0,2,0,0,6,5,7,9,0,0,0,2,0,0,8,0,0,7,7,1,14,0,0,0,2,0,0,0,0,0,2,6,5,5,0,1,0,2,1,0,9,0,0,2,3,2,11,0,0
,Stromlo,0,0,0,0,0,0,0,5,9,13,1,1,0,0,0,0,0,0,0,1,6,6,19,6,0,0,0,0,0,0,0,0,1,5,7,16,3,0,3,0,0,0,0,0,0,0,2,3,24,4,0,0
,Waramanga,0,1,1,0,4,0,0,8,4,2,18,0,1,0,1,1,0,6,1,4,17,15,6,20,0,1,0,2,0,0,2,0,0,5,7,16,8,0,0,0,3,2,0,3,1,1,4,10,4,8,0,1
,Weston,0,6,0,1,13,0,3,20,35,13,52,0,2,0,7,1,0,7,0,4,9,29,31,51,0,2,0,6,2,0,5,1,6,10,41,22,30,0,5,0,4,0,0,11,0,6,5,41,30,24,0,4
Molonglo,,0,1,0,1,22,0,0,11,9,15,23,0,0,0,3,0,0,21,0,4,16,19,17,32,0,1,0,7,1,0,23,0,10,29,14,38,30,0,0,0,3,1,6,6,0,0,9,7,26,19,0,0
,Coombs,0,0,0,0,16,0,0,3,5,9,10,0,0,0,1,0,0,5,0,2,3,2,2,8,0,1,0,1,1,0,9,0,3,2,3,5,9,0,0,0,1,0,4,4,0,0,1,3,4,10,0,0
,Denman Prospect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
,Molonglo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Wright,0,1,0,1,6,0,0,8,4,5,13,0,0,0,2,0,0,16,0,2,12,18,13,24,0,0,0,6,0,0,13,0,7,25,11,26,21,0,0,0,2,1,2,2,0,0,8,4,16,7,0,0
Woden,,0,50,6,6,63,1,11,88,142,93,214,0,12,0,49,11,5,61,1,38,129,170,130,253,1,11,0,67,11,3,38,7,29,111,220,185,292,0,6,0,60,16,5,40,4,18,92,245,107,234,0,15
,Chifley,0,5,0,0,6,0,0,4,7,0,14,0,1,0,4,1,0,0,0,1,8,31,13,11,0,2,0,8,2,1,1,0,1,17,8,9,8,0,1,0,7,0,1,0,0,0,2,13,10,6,0,1
,Curtin,0,3,0,0,4,0,0,11,3,28,16,0,1,0,9,1,1,8,0,5,13,17,40,26,1,1,0,8,0,0,1,0,2,11,18,74,24,0,0,0,4,1,0,5,1,2,5,8,31,15,0,2
,Farrer,0,2,0,0,7,0,0,8,6,2,16,0,0,0,1,0,0,2,0,1,1,3,1,7,0,1,0,2,0,0,5,0,1,7,7,4,7,0,1,0,2,0,0,6,0,3,3,3,3,9,0,0
,Garran,0,10,0,1,4,0,0,8,7,8,13,0,1,0,11,1,0,5,0,5,8,15,5,22,0,0,0,12,2,0,3,1,4,14,16,5,25,0,1,0,5,0,0,4,0,0,3,25,7,15,0,2
,Hughes,0,1,0,0,2,0,2,2,1,1,8,0,0,0,0,4,0,3,0,2,4,9,4,9,0,0,0,2,0,0,3,0,2,4,7,7,16,0,0,0,2,1,0,4,0,1,6,8,8,8,0,0
,Isaacs,0,1,1,0,1,0,0,0,3,2,2,0,0,0,2,3,1,4,0,0,6,3,5,7,0,0,0,3,0,0,0,0,2,5,4,2,8,0,1,0,4,0,0,3,0,0,0,3,3,5,0,1
,Lyons,0,7,2,2,2,0,1,13,9,8,9,0,2,0,6,0,0,4,0,3,18,8,10,18,0,1,0,3,0,0,4,3,1,10,39,13,14,0,0,0,8,2,2,7,0,2,15,19,4,15,0,1
,Mawson,0,5,1,2,10,0,0,5,8,10,28,0,2,0,0,0,1,5,0,2,14,21,8,36,0,2,0,9,1,0,5,1,2,3,26,8,49,0,1,0,3,0,0,2,2,3,10,33,7,34,0,1
,O'Malley,0,0,0,0,2,0,0,0,13,2,4,0,3,0,0,0,0,3,1,1,0,1,3,3,0,0,0,0,0,0,1,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,1,1,4,3,0,2
,Pearce,0,0,0,1,8,0,1,4,13,2,11,0,0,0,3,0,0,4,0,0,11,1,2,6,0,1,0,3,0,1,0,1,1,4,4,8,4,0,1,0,2,3,0,2,0,2,7,4,0,7,0,1
,Phillip,0,16,2,0,11,1,7,32,65,30,87,0,2,0,13,1,2,20,0,18,44,57,37,103,0,3,0,16,6,1,12,1,11,31,83,50,126,0,0,0,22,9,2,6,1,5,37,120,30,115,0,4
,Torrens,0,0,0,0,6,0,0,1,7,0,6,0,0,0,0,0,0,3,0,0,2,4,2,5,0,0,0,1,0,0,3,0,2,4,5,2,9,0,0,0,1,0,0,1,0,0,3,8,0,2,0,0
Tuggeranong,,1,142,20,15,101,5,36,235,448,297,429,0,20,0,117,22,16,97,13,67,224,503,303,511,0,23,0,169,20,23,89,7,83,266,536,317,551,0,24,0,200,21,27,111,13,52,236,518,249,401,1,22
,Banks,0,4,0,0,3,0,1,7,9,13,4,0,0,0,5,0,0,1,0,0,4,39,10,8,0,4,0,4,0,1,7,0,6,14,17,3,15,0,0,0,4,0,0,3,0,2,5,14,0,12,0,2
,Bonython,0,3,2,1,1,0,1,7,8,4,9,0,3,0,3,0,0,4,1,2,6,15,15,21,0,2,0,2,0,2,3,2,8,16,13,20,23,0,1,0,6,0,0,6,1,0,5,32,23,13,0,1
,Calwell,0,3,0,0,9,0,2,10,14,14,42,0,0,0,3,2,0,6,0,3,21,27,6,31,0,1,0,8,0,1,5,1,4,14,25,6,26,0,1,0,21,0,1,3,1,4,11,43,8,26,0,2
,Chisholm,0,12,1,0,8,0,5,11,34,12,32,0,1,0,12,2,1,9,0,6,18,40,10,46,0,1,0,11,0,1,6,1,7,8,42,13,30,0,2,0,13,1,1,10,1,4,15,50,9,27,1,1
,Conder,0,10,4,2,5,2,1,16,28,10,17,0,1,0,8,0,1,6,1,4,8,21,7,26,0,1,0,17,4,2,1,0,6,22,27,7,43,0,1,0,12,0,3,6,1,3,9,18,8,11,0,2
,Fadden,0,3,2,0,2,0,2,5,5,11,6,0,0,0,2,0,0,0,0,1,10,9,9,8,0,0,0,4,2,0,2,0,0,9,5,8,7,0,0,0,4,0,0,1,0,2,4,10,6,7,0,2
,Gilmore,0,2,0,0,0,0,0,3,14,9,7,0,0,0,4,0,2,2,0,1,6,21,21,10,0,1,0,6,0,1,1,0,1,5,29,7,6,0,0,0,12,7,0,2,0,1,4,9,10,8,0,0
,Gordon,0,18,0,4,3,0,2,14,46,13,15,0,3,0,11,3,1,7,0,3,9,20,16,16,0,2,0,5,4,0,3,1,7,9,21,17,11,0,2,0,15,1,3,5,0,3,11,28,8,14,0,2
,Gowrie,0,0,0,0,2,0,1,4,12,6,7,0,1,0,3,4,0,4,0,2,5,10,12,10,0,0,0,3,0,0,4,0,3,12,20,7,10,0,2,0,5,1,1,2,0,0,5,23,7,7,0,0
,Greenway,0,20,6,2,14,0,1,21,78,51,75,0,3,0,6,1,7,7,2,7,38,63,60,80,0,0,0,25,3,2,11,1,5,27,67,67,99,0,3,0,28,2,0,9,3,6,31,78,45,92,0,5
