,Quarter,Q1,,,,,,,,,,,,,Q2,,,,,,,,,,,,,Q3,,,,,,,,,,,,,Q4,,,,,,,,,,,,
,Source,3-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury
Belconnen,,0,163,25,14,174,13,65,332,592,749,560,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aranda,0,0,0,1,5,0,1,10,16,80,10,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belconnen,0,44,8,3,30,9,13,88,141,147,167,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bruce,0,4,3,0,10,0,6,27,25,83,41,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Charnwood,0,13,0,0,2,0,1,11,24,24,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cook,0,1,1,0,7,0,1,2,20,37,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dunlop,0,13,0,1,5,0,5,11,17,5,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Evatt,0,3,5,4,16,0,2,10,20,22,22,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Florey,0,4,2,0,8,1,5,26,36,39,21,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flynn,0,1,0,0,2,0,1,4,12,3,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fraser,0,4,0,0,4,0,1,3,18,9,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giralang,0,1,0,0,6,0,0,8,15,10,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hawker,0,6,0,0,3,1,5,9,13,37,24,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Higgins,0,2,0,0,5,0,1,9,15,13,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holt,0,9,0,0,5,1,6,18,69,67,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaleen,0,5,0,0,6,0,3,13,17,36,25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Latham,0,9,1,1,5,0,1,8,22,23,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lawson,0,1,1,0,2,0,0,8,1,5,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Macgregor,0,11,1,1,8,0,2,12,18,10,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Macquarie,0,5,0,0,8,0,8,16,12,37,30,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McKellar,0,7,0,1,5,0,0,11,1,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Melba,0,11,2,1,9,0,0,6,15,14,21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Page,0,5,1,0,6,0,0,3,26,12,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scullin,0,1,0,1,6,0,1,9,14,10,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spence,0,3,0,0,6,1,0,6,21,10,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weetangera,0,0,0,0,5,0,2,4,4,15,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gungahlin,,0,96,13,3,79,6,24,174,215,281,267,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaroo,0,5,1,0,2,0,0,7,10,6,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
