SSC_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SSC80075,0,4,4,0,0,0,5,0,16,0,0,0,0,16,0,25,3,3,0,0,27,3,3,3,3,0,0,11,8,0,0,0,0,0,8,22,3,4,0,0,0,28,14,3,14,0,0,0,31,23,0,10,0,0,0,36,26,0,10,0,0,0,40,17,3,3,0,0,0,22,7,0,4,0,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,10,122,59,65,4,3,0,261
SSC80076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC80077,0,0,4,0,0,3,6,0,4,0,0,0,0,4,0,8,0,0,0,0,12,0,3,0,0,3,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,7,18,3,12,0,0,0,37,41,0,7,0,0,0,46,18,0,0,0,0,0,16,6,0,0,0,0,0,11,7,0,0,0,0,0,7,4,0,0,0,0,0,4,3,0,0,0,0,0,3,5,3,0,0,0,0,6,99,22,34,6,7,4,176
SSC80078,0,0,3,0,0,0,6,0,4,0,0,0,0,4,0,14,0,0,0,0,13,0,3,3,0,0,0,9,0,3,6,0,0,0,7,0,4,6,0,0,0,14,14,3,11,0,0,0,35,108,5,73,0,5,0,196,33,3,14,0,0,0,53,4,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,10,160,40,126,0,11,3,348
SSC80079,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,7,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,16,11,0,0,0,0,0,13,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,30,10,4,4,0,0,53
SSC80080,3,9,12,0,0,3,20,0,22,0,0,0,0,22,0,36,5,0,0,0,50,0,20,5,4,0,0,29,0,6,3,0,0,0,11,3,3,3,0,0,0,12,6,4,7,0,0,0,23,89,13,49,0,5,0,157,105,0,48,0,5,0,161,20,0,15,0,0,0,39,6,0,12,0,0,0,17,0,0,3,3,0,0,6,0,0,3,0,0,0,3,0,0,6,0,0,0,10,0,9,3,3,0,0,15,244,118,183,5,14,8,570
SSC80081,0,28,21,0,0,7,61,0,71,0,0,0,0,68,0,138,9,3,0,0,147,3,85,12,4,0,0,99,0,31,8,0,0,0,38,3,42,11,0,0,0,52,34,32,48,3,0,0,114,194,41,117,0,7,0,359,103,7,42,0,3,0,161,27,0,3,0,0,0,30,11,0,3,0,0,0,16,3,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,7,29,10,0,4,0,54,385,497,284,10,15,15,1203
SSC80082,0,3,7,3,3,5,27,3,12,0,0,0,0,15,0,20,3,0,0,0,23,3,7,3,0,0,0,11,3,0,3,0,0,0,4,12,3,5,0,7,0,29,18,5,13,0,3,0,32,361,4,71,0,4,0,436,287,3,65,0,4,0,358,150,0,29,0,0,0,186,44,0,19,0,0,0,60,24,0,6,0,0,0,29,17,0,8,0,0,0,21,15,0,3,0,0,0,22,13,0,0,0,0,0,19,937,53,238,4,21,7,1266
SSC80083,0,4,11,0,0,3,12,0,7,0,0,0,0,7,0,24,3,0,0,0,25,0,14,0,0,0,0,16,0,7,3,0,0,0,10,4,13,0,0,0,0,16,7,8,7,0,0,0,13,63,7,27,0,3,0,102,22,0,10,0,0,0,33,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,111,82,65,0,6,3,268
SSC80084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,12
