351821:80004280000,80027,Bruce (ACT),8,Australian Capital Territory,0.0426
351822:80049170000,80027,Bruce (ACT),8,Australian Capital Territory,0.009
351823:80004430000,80027,Bruce (ACT),8,Australian Capital Territory,0.0332
351824:80049180000,80027,Bruce (ACT),8,Australian Capital Territory,0.0088
351825:80003090000,80027,Bruce (ACT),8,Australian Capital Territory,0.034
351826:80049710000,80027,Bruce (ACT),8,Australian Capital Territory,0.0088
351827:80056525500,80027,Bruce (ACT),8,Australian Capital Territory,0.0211
351828:80056502700,80027,Bruce (ACT),8,Australian Capital Territory,0.0048
351829:80056500100,80027,Bruce (ACT),8,Australian Capital Territory,0.0359
351830:80056551300,80027,Bruce (ACT),8,Australian Capital Territory,0.0065
351831:80056504300,80027,Bruce (ACT),8,Australian Capital Territory,0.0225
352238:80047530000,80054,Flynn (ACT),8,Australian Capital Territory,0.0043
352239:80014890000,80054,Flynn (ACT),8,Australian Capital Territory,0.0512
352240:80014900000,80054,Flynn (ACT),8,Australian Capital Territory,0.06
352241:80014910000,80054,Flynn (ACT),8,Australian Capital Territory,0.0536
352242:80015020000,80054,Flynn (ACT),8,Australian Capital Territory,0.0139
352243:80015010000,80054,Flynn (ACT),8,Australian Capital Territory,0.0755
352244:80047490000,80054,Flynn (ACT),8,Australian Capital Territory,0.0044
352245:80014650000,80054,Flynn (ACT),8,Australian Capital Territory,0.0515
352246:80051890000,80054,Flynn (ACT),8,Australian Capital Territory,0.0022
352247:80015070000,80054,Flynn (ACT),8,Australian Capital Territory,0.069
352248:80051930000,80054,Flynn (ACT),8,Australian Capital Territory,0.0538
352249:80015040000,80054,Flynn (ACT),8,Australian Capital Territory,0.1189
352250:80015080000,80054,Flynn (ACT),8,Australian Capital Territory,0.0068
352251:80015050000,80054,Flynn (ACT),8,Australian Capital Territory,0.0695
352252:80047520000,80054,Flynn (ACT),8,Australian Capital Territory,0.0328
352253:80015060000,80054,Flynn (ACT),8,Australian Capital Territory,0.0532
352254:80014740000,80054,Flynn (ACT),8,Australian Capital Territory,0.087
352255:80015090000,80054,Flynn (ACT),8,Australian Capital Territory,0.0499
352256:80014700000,80054,Flynn (ACT),8,Australian Capital Territory,0.0292
352257:80014680000,80054,Flynn (ACT),8,Australian Capital Territory,0.0384
352258:80014690000,80054,Flynn (ACT),8,Australian Capital Territory,0.0121
352259:80047460000,80054,Flynn (ACT),8,Australian Capital Territory,0.0046
352260:80014750000,80054,Flynn (ACT),8,Australian Capital Territory,0.0048
352261:80051910000,80054,Flynn (ACT),8,Australian Capital Territory,0.0046
352262:80014830000,80054,Flynn (ACT),8,Australian Capital Territory,0.0457
352263:80051920000,80054,Flynn (ACT),8,Australian Capital Territory,0.0043
352264:80014770000,80054,Flynn (ACT),8,Australian Capital Territory,0.0359
352265:80014810000,80054,Flynn (ACT),8,Australian Capital Territory,0.0506
352266:80051900000,80054,Flynn (ACT),8,Australian Capital Territory,0.0027
352267:80014790000,80054,Flynn (ACT),8,Australian Capital Territory,0.0028
352268:80014870000,80054,Flynn (ACT),8,Australian Capital Territory,0.0061
352269:80014860000,80054,Flynn (ACT),8,Australian Capital Territory,0.0552
352270:80014840000,80054,Flynn (ACT),8,Australian Capital Territory,0.0397
352271:80014800000,80054,Flynn (ACT),8,Australian Capital Territory,0.0577
352272:80014850000,80054,Flynn (ACT),8,Australian Capital Territory,0.0352
352273:80014940000,80054,Flynn (ACT),8,Australian Capital Territory,0.0514
352274:80015002000,80054,Flynn (ACT),8,Australian Capital Territory,0.0237
352275:80015001000,80054,Flynn (ACT),8,Australian Capital Territory,0.0408
352276:80014990000,80054,Flynn (ACT),8,Australian Capital Territory,0.0611
352277:80014980000,80054,Flynn (ACT),8,Australian Capital Territory,0.0432
352278:80014670000,80054,Flynn (ACT),8,Australian Capital Territory,0.0076
352279:80014720000,80054,Flynn (ACT),8,Australian Capital Territory,0.0605
352280:80014730000,80054,Flynn (ACT),8,Australian Capital Territory,0.0583
352281:80014710000,80054,Flynn (ACT),8,Australian Capital Territory,0.0507
352282:80014660000,80054,Flynn (ACT),8,Australian Capital Territory,0.0034
352283:80014780000,80054,Flynn (ACT),8,Australian Capital Territory,0.0347
352284:80047500000,80054,Flynn (ACT),8,Australian Capital Territory,0.0035
352285:80014820000,80054,Flynn (ACT),8,Australian Capital Territory,0.0493
352286:80049960000,80054,Flynn (ACT),8,Australian Capital Territory,0.0061
352287:80014960000,80054,Flynn (ACT),8,Australian Capital Territory,0.0418
352288:80047540000,80054,Flynn (ACT),8,Australian Capital Territory,0.0053
352289:80051940000,80054,Flynn (ACT),8,Australian Capital Territory,0.0144
352290:80051960000,80054,Flynn (ACT),8,Australian Capital Territory,0.0245
352291:80014930000,80054,Flynn (ACT),8,Australian Capital Territory,0.0168
352292:80015030000,80054,Flynn (ACT),8,Australian Capital Territory,0.0383
352293:80014920000,80054,Flynn (ACT),8,Australian Capital Territory,0.0645
352294:80047070000,80054,Flynn (ACT),8,Australian Capital Territory,0.0593
352295:80014950000,80054,Flynn (ACT),8,Australian Capital Territory,0.0431
352296:80051980000,80054,Flynn (ACT),8,Australian Capital Territory,0.0061
352383:80046740000,80001,ACT Remainder - Belconnen,8,Australian Capital Territory,3.2097
352384:80056513400,80001,ACT Remainder - Belconnen,8,Australian Capital Territory,6.7038
352385:80020850000,80071,Hawker (ACT),8,Australian Capital Territory,0.0421
352386:80020860000,80071,Hawker (ACT),8,Australian Capital Territory,0.0241
352387:80020870000,80071,Hawker (ACT),8,Australian Capital Territory,0.0202
352388:80020570000,80071,Hawker (ACT),8,Australian Capital Territory,0.0096
352389:80020930000,80071,Hawker (ACT),8,Australian Capital Territory,0.0135
